"","bag_site","site_name","bags_label","finalTissue_VialLabel","finalTissue_condition","finalTissue_gonadIndex","gonad","condition"
"1","Lewisetta","W5_NH","MVP-NH-1","CviMVPf_250798","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","3"
"2","Lewisetta","W5_NH","MVP-NH-1","CviMVPf_250796","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"3","Lewisetta","W5_NH","MVP-NH-1","CviMVPf_250803","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","4 - Follicles clearly defined and engorged","4","3"
"4","Lewisetta","W5_NH","MVP-NH-1","CviMVPf_250800","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","4 - Follicles clearly defined and engorged","4","3"
"5","Lewisetta","W5_NH","MVP-NH-1","CviMVPf_250799","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"6","Lewisetta","W5_NH","MVP-NH-1","CviMVPf_250797","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","2"
"7","Lewisetta","W5_NH","MVP-NH-1","CviMVPf_250801","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"8","Lewisetta","W5_NH","MVP-NH-1","CviMVPf_250804","4 - Tissue extremely opaque stands up, no visible organs, rich creamy color, no shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","4"
"9","Lewisetta","W5_NH","MVP-NH-1","CviMVPf_250802","4 - Tissue extremely opaque stands up, no visible organs, rich creamy color, no shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","4"
"10","Lewisetta","W5_NH","MVP-NH-1","CviMVPf_250805","4 - Tissue extremely opaque stands up, no visible organs, rich creamy color, no shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","4"
"11","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250984","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"12","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250990","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","0"
"13","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250988","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"14","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250974","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","1"
"15","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250979","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
