mortality_key,mortality_label,bags_key,alive_count,dead_count,mortality_timestamp,mortality_notes,dead_bag,alive_returned
d96f7e66,2023-11-7_MVP-FL-1,815e1dab,1210,87,11/7/23 8:30,"3 med blue crabs,",TRUE,1210
27171934,2023-11-7_MVP-DEBY-1,24d5645e,1444,118,11/7/23 8:54,1 blue crab,TRUE,1444
8fc8ba73,2023-11-7_MVP-JR-3,6981f952,673,310,11/7/23 9:22,2 large blue crabs,TRUE,673
2a93a4ae,2023-11-7_MVP-TX-1,2b6a3191,1266,154,11/7/23 9:23,2 big blue crabs,TRUE,1266
b923d1fa,2023-11-6_MVP-TX-3,885f1c3e,1270,168,11/6/23 15:25,"1 large blue crab. The count for this one might be off. The clicker read 1505, so it was not properly reset. We entered it as 505. If the clicker was 1111, then the total count would have been 1159 (505-111). We think this is a lower limit, and the entered count is an upper limit.",FALSE,1270
d85b71f0,2023-11-6_MVP-ME-1,29b9493b,530,451,11/6/23 15:50,2 large blue crabs,FALSE,530
61d0775c,2023-11-6_MVP-DEBY-3,fd1a768b,1034,291,11/6/23 16:00,1 large blue crab,FALSE,1034
b8efee4e,2023-11-6_MVP-JR-1,3460d069,1057,146,11/6/23 16:56,"No crabs, but lots of large tunicates inside bag",FALSE,1057
94206e4d,2023-11-6_MVP-FL-2,230dcc38,965,317,11/6/23 5:09,1 blue crab,FALSE,965
b0b7f59d,2023-11-7_MVP-LA-1,7e8856d8,1406,88,11/6/23 5:24,"1 blue crab, no tunicates",FALSE,1406
63e40e80,2023-11-6_MVP-JR-2,58cf91df,524,460,11/6/23 17:44,2 blue crabs,FALSE,524
2282560a,2023-11-6_MVP-FL-3,e91a188c,1049,194,11/6/23 19:15,no crabs in bag,FALSE,1049
20bb0fbf,2023-11-6_MVP-ME-2,98db6a1d,372,639,11/6/23 19:36,3 large blue crabs,TRUE,372
6466d412,2023-11-7_MVP-LA-3,bbec9cf8,1187,168,11/7/23 9:52,1 big crab,,1187
8b9a8f1d,2023-11-7_MVP-DEBY-2,f280e828,969,532,11/7/23 9:53,3-4 crabs,TRUE,969
784f6253,2023-11-8_MVP-LOLA-3,ab553cef,1049,59,11/8/23 15:08,No large crabs in bag,TRUE,1049
010ff3a0,2023-11-8_MVP-ME-3,f312af3f,1086,211,11/8/23 15:17,No large crabs in bag,TRUE,1086
6eaa870f,2023-11-8_MVP-LOLA-1,40d460cc,1069,91,11/8/23 15:52,No large crabs in bag,TRUE,1069
1cb354d4,2023-11-8_MVP-NH-3,6ab7c081,688,413,11/8/23 15:45,Small bags nested in large bags,TRUE,688
81c44cfa,2023-11-8_MVP-SEEDMIX-1,7239feb5,1114,291,11/8/23 16:41,,TRUE,1114
8f7aee47,2023-11-8_MVP-NH-2,957bbb17,591,501,11/8/23 16:47,small bags nested in larger bag,TRUE,591
6bca2ae9,2023-11-8_MVP-NH-1,09dc7811,646,502,11/8/23 17:28,small bags in larger bag,,646
3b2637de,2023-11-8_MVP-LOLA-2,953be50c,991,85,11/8/23 17:57,,,991
c4cfde01,2023-11-8_MVP-LARMIX-2,aa3c244b,1107,67,11/8/23 18:13,,,1107
7be850ec,2023-11-9_MVP-LA-2,689525dd,1256,51,11/9/23 8:08,One medium crab in bag,TRUE,1256
51a5b6df,2023-11-9_MVP-LARMIX-3,ef48c3c3,1002,115,11/9/23 8:23,,TRUE,1002
e55a0161,2023-11-9_MVP-TX-2,8fd17a9e,1360,53,11/9/23 8:47,1 blue crab,,1360
1551ff3e,2023-11-9_MVP-LARMIX-1,4ca2c33a,993,150,11/9/23 9:01,,TRUE,993
baed1f9f,2023-11-9_MVP-SEEDMIX-3,0f94ce30,856,243,11/9/23 9:06,No crabs,TRUE,856
dca6962f,2023-11-9_MVP-SEEDMIX-2,05d8a409,1072,157,11/9/23 9:27,No large crabs,TRUE,1072
cc2d2674,2023-11-10_MVP-NH-4,b2afd5ee,454,361,11/10/23 8:51,,TRUE,454
dac89666,2023-11-10_MVP-SEEDMIX-5,1a026d5b,1010,175,11/10/23 9:21,,TRUE,1010
4de8a923,2023-11-10_MVP-LARMIX-4,36a7a874,1060,130,11/10/23 9:43,,TRUE,1060
53de19d7,2023-11-10_MVP-LARMIX-6,5fb1d274,1022,71,11/10/23 10:15,,TRUE,1022
38265d3a,2023-11-10_MVP-LA-4,100369ae,1336,121,11/10/23 10:37,,TRUE,1336
cbf1b666,2023-11-10_MVP-FL-4,214a10fd,1250,26,11/10/23 10:54,,TRUE,1250
93274ee2,2023-11-13_MVP-DEBY-5,15161707,1560,181,11/13/23 8:52,,TRUE,1560
089f8c22,2023-11-13_MVP-TX-5,459cb517,1405,69,11/13/23 8:57,,TRUE,1405
d461bf2b,2023-11-13_MVP-LOLA-6,a5917655,966,96,11/13/23 9:15,,TRUE,966
7604b2b5,2023-11-13_MVP-NH-5,d5555913,599,415,11/13/23 9:45,,TRUE,599
af1509f6,2023-11-13_MVP-NH-6,26bf3141,292,84,11/13/23 10:19,,TRUE,292
78d0eb4a,2023-11-13_MVP-ME-6,f0b7aeea,840,347,11/13/23 10:24,,TRUE,840
9314c96b,2023-11-13_MVP-JR-5,8b476356,793,306,11/13/23 10:57,,TRUE,793
22221c1e,2023-11-13_MVP-FL-5,78b3b60a,1299,48,11/13/23 11:04,,TRUE,1299
6cd71eea,2023-11-14_MVP-JR-4,ab963807,1123,150,11/14/23 8:58,,TRUE,1123
70246bd2,2023-11-14_MVP-LOLA-5,b8b043b2,1011,172,11/14/23 9:05,,TRUE,1011
21abeab6,2023-11-14_MVP-TX-4,eb43e468,1313,121,11/14/23 9:36,,TRUE,1313
643a870f,2023-11-14_MVP-ME-4,12bc8d82,783,181,11/14/23 9:58,,TRUE,783
4756893d,2023-11-14_MVP-LA-5,a9458a4a,1173,205,11/14/23 10:04,,TRUE,1173
ac69c3fb,2023-11-14_MVP-DEBY-6,c1ccef3e,1267,193,11/14/23 10:41,,TRUE,1267
4d8e8437,2023-11-14_MVP-SEEDMIX-4,8940e43d,1034,253,11/14/23 10:46,,TRUE,1034
43b5bf9e,2023-11-14_MVP-LARMIX-5,a222be71,797,398,11/14/23 11:00,,TRUE,797
aa006602,2023-11-14_MVP-ME-5,ca40eea6,989,339,11/14/23 11:09,,TRUE,989
c7ee4db3,2023-11-14_MVP-JR-6,cac61fcc,985,130,11/14/23 11:35,,TRUE,985
08f42887,2023-11-15_MVP-DEBY-4,16543236,1481,350,11/15/23 11:44,,TRUE,1481
fad54de0,2023-11-15_MVP-FL-6,f5f69186,1269,51,11/15/23 12:40,,TRUE,1269
9efec6ce,2023-11-15_MVP-LA-6,6a4a5efe,1272,118,11/15/23 12:57,,TRUE,1272
f6ea9b22,2023-11-15_MVP-SEEDMIX-6,8894d982,966,292,11/15/23 13:01,,TRUE,966
6f2f94d6,2023-11-15_MVP-TX-6,2c1bf45d,1324,92,11/15/23 13:31,,TRUE,1324
caef2905,2023-11-15_MVP-LOLA-4,bd86970d,1069,129,11/15/23 13:47,,TRUE,1069
e5cf46ce,2024-3-13_Practice-LEW,234g212c,1,1,3/13/24 14:13,,FALSE,1
e4f46692,2024-4-29_MVP-LA-2,689525dd,1226,40,4/29/24 14:04,"39 tot tagged recovered, 1 was dead",TRUE,235
afa704d6,2024-4-29_MVP-NH-2,957bbb17,519,127,4/29/24 14:47,"40 tot tagged recovered, 1 was dead",TRUE,235
f452dde9,2024-4-29_MVP-LOLA-2,953be50c,932,30,4/29/24 15:02,"40 tot tagged recovered
A442 died overnight, found dead 2024-04-30 at 1:10 pm",TRUE,235
716d46e9,2024-4-29_MVP-SEEDMIX-2,05d8a409,974,80,4/29/24 15:16,38 tot tagged recovered,TRUE,235
af659b47,2024-4-29_MVP-TX-2,8fd17a9e,1342,41,4/29/24 15:32,40 tot tagged recovered,TRUE,235
